user_input,normalized_symptoms,probable_condition,department,severity
"I have fever and sore throat since yesterday","fever;sore throat","Common Cold","General Medicine","self-care"
"High fever with body ache and cough","fever;body ache;cough","Influenza (Flu)","General Medicine","GP"
"I feel chest tightness and can't breathe properly","shortness of breath;chest tightness","Asthma Attack","Pulmonology","urgent"
"Sudden severe chest pain radiating to my arm","chest pain;pain radiating to arm;sweating","Heart Attack","Cardiology","emergency"
"I have headache with nausea and sensitivity to light","headache;nausea;sensitivity to light","Migraine","Neurology","GP"
"I vomited multiple times and have diarrhea","vomiting;diarrhea;abdominal pain","Food Poisoning","Gastroenterology","GP"
"My sugar is high and I feel very thirsty","excessive thirst;frequent urination;fatigue","Diabetes Complication","Endocrinology","urgent"
"My father suddenly can't move his left hand and is slurring words","sudden weakness;slurred speech;drooping face","Stroke","Neurology","emergency"
"I feel burning while urinating and lower abdominal pain","burning urination;abdominal pain","Urinary Tract Infection (UTI)","Urology","GP"
"I lost my sense of smell and have dry cough with fever","loss of smell;cough;fever;fatigue","COVID-19","General Medicine","urgent"
"My joints hurt and I feel stiffness in the morning","joint pain;stiffness","Arthritis","Orthopedics","GP"
"I am feeling very anxious and cannot sleep at night","anxiety;insomnia","Anxiety Disorder","Psychiatry","GP"
"My child has fever and skin rashes","fever;rash","Pediatric Infection","Pediatrics","GP"
"My periods are irregular and I have pelvic pain","irregular periods;pelvic pain","PCOS","Gynecology","GP"
"I fainted suddenly while walking","loss of consciousness;dizziness","Syncope / Neurological Issue","Neurology","urgent"
